Time=385000 | clk=1 | rf_portA=1110011110100011 | rf_portB=0001110000111011 | net_stream=0 | confSig=001 | confLoad=0 * opnX=1110011110100011 | opnY=0001110000111011
Time=390000 | clk=0 | rf_portA=0011001000011010 | rf_portB=1001111011010011 | net_stream=0 | confSig=111 | confLoad=0 * opnX=0011001000011010 | opnY=1001111011010011
Time=395000 | clk=1 | rf_portA=0011001000011010 | rf_portB=1001111011010011 | net_stream=0 | confSig=111 | confLoad=0 * opnX=0011001000011010 | opnY=1001111011010011
Time=400000 | clk=0 | rf_portA=1111111100011000 | rf_portB=0100101111011101 | net_stream=0 | confSig=001 | confLoad=0 * opnX=1111111100011000 | opnY=0100101111011101
Time=405000 | clk=1 | rf_portA=1111111100011000 | rf_portB=0100101111011101 | net_stream=0 | confSig=001 | confLoad=0 * opnX=1111111100011000 | opnY=0100101111011101
Time=410000 | clk=0 | rf_portA=0010000010010000 | rf_portB=1001110000010011 | net_stream=0 | confSig=111 | confLoad=0 * opnX=0010000010010000 | opnY=1001110000010011
Time=415000 | clk=1 | rf_portA=0010000010010000 | rf_portB=1001110000010011 | net_stream=0 | confSig=111 | confLoad=0 * opnX=0010000010010000 | opnY=1001110000010011
Time=420000 | clk=0 | rf_portA=1010100110001010 | rf_portB=0111010110001011 | net_stream=0 | confSig=011 | confLoad=0 * opnX=1010100110001010 | opnY=0111010110001011
Time=425000 | clk=1 | rf_portA=1010100110001010 | rf_portB=0111010110001011 | net_stream=0 | confSig=011 | confLoad=0 * opnX=1010100110001010 | opnY=0111010110001011
Time=430000 | clk=0 | rf_portA=1100110110001100 | rf_portB=1001011001000011 | net_stream=0 | confSig=111 | confLoad=0 * opnX=1100110110001100 | opnY=1001011001000011
Time=435000 | clk=1 | rf_portA=1100110110001100 | rf_portB=1001011001000011 | net_stream=0 | confSig=111 | confLoad=0 * opnX=1100110110001100 | opnY=1001011001000011
Time=440000 | clk=0 | rf_portA=0001000010110101 | rf_portB=0000010110000111 | net_stream=0 | confSig=000 | confLoad=0 * opnX=0001000010110101 | opnY=0000010110000111
