time=71.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=72.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=73.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=74.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=75.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=76.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=77.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=78.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=79.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=80.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=81.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=82.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=83.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=84.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=85.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=86.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=87.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=88.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=89.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=90.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=91.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=92.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=93.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=94.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=0.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=95.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=96.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=97.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=98.00000n | op_bus0_=0.0 | op_bus1_=1.0 | clk=1.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
